key,namePerson,moment,subject,text,score,recommended
#namePerson,"","","","","",""
Review-01,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-02,L,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-03,Lo,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-06,洛伦·伊普森,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-07,<script>alert(‘Hacked!’);</script>,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-08,' or 'A' = 'A,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
#moment,"","","","","",""
Review-09,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-10,Lorem ipsum dolor sit ame,2000/01/01 0:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-11,Lorem ipsum dolor sit ame,2000/01/01 0:01,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-12,Lorem ipsum dolor sit ame,2024/12/31 23:59,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-13,Lorem ipsum dolor sit ame,2025/01/01 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
#subjet,"","","","","",""
Review-14,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-15,Lorem ipsum dolor sit ame,2022/01/12 10:00,L,Lorem ipsum dolor sit ame,5.00,true
Review-16,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lo,Lorem ipsum dolor sit ame,5.00,true
Review-17,Lorem ipsum dolor sit ame,2022/01/12 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,5.00,true
Review-18,Lorem ipsum dolor sit ame,2022/01/12 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,5.00,true
Review-19,Lorem ipsum dolor sit ame,2022/01/12 10:00,洛伦·伊普森,Lorem ipsum dolor sit ame,5.00,true
Review-20,Lorem ipsum dolor sit ame,2022/01/12 10:00,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,5.00,true
Review-21,Lorem ipsum dolor sit ame,2022/01/12 10:00,' or 'A' = 'A,Lorem ipsum dolor sit ame,5.00,true
#test,"","","","","",""
Review-22,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-23,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,L,5.00,true
Review-24,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lo,5.00,true
Review-25,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5.00,true
Review-26,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5.00,true
Review-27,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,洛伦·伊普森,5.00,true
Review-28,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,5.00,true
#score,"","","","","",""
Review-29,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-30,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,0.00,true
Review-31,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,10.00,true
Review-32,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,0.10,true
Review-33,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,9.99,true
Review-34,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,null,true
#recommended,"","","","","",""
Review-35,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,true
Review-36,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,false
Review-37,Lorem ipsum dolor sit ame,2022/01/12 10:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,5.00,null
